city,country,latitude,longitude
Murça,Portugal,41.410051,-7.4489531
Arbais,Indonesia,-1.8053216,138.4687311
Phnom Penh,Cambodia,11.5448729,104.8921668
Santo Tomas,Philippines,7.5273576,125.6239227
Kai,Afghanistan,36.783333,66.65
Weiyang,China,34.293171,108.946651
Kresna,Bulgaria,43.8533322,25.9522679
Mjölby,Sweden,58.3226908,15.1335348
Durham,United States,36.025609,-78.9853813
Dois Portos,Portugal,39.0369331,-9.1809626
Cairani,Peru,-17.2884329,-70.3643395
Agriá,Greece,39.3408388,23.0126047
Oslo,Norway,59.9251831,10.8203114
Barqueiro,Portugal,39.8699419,-8.9175063
Barretos,Brazil,-20.5558832,-48.5762695
Minūf,Egypt,30.4659284,30.9305801
Calabugao,Philippines,8.4584521,125.0679195
Komi,Indonesia,-6.3145542,107.1032236
Tarrafal,Cape Verde,15.2760578,-23.7484077
Itatskiy,Russia,56.0711371,89.0001154
Huanghua,China,38.371402,117.329949
Horní Lideč,Czech Republic,49.181214,18.0610035
Salcedo,Dominican Republic,19.3947363,-70.5263459
Yarmolyntsi,Ukraine,49.189578,26.8447254
Ngulangan,Indonesia,-6.7160998,111.4886997
Ungca,Philippines,15.1585322,120.6299566
Zielonka,Poland,52.2871973,21.2810466
Bailan,Philippines,11.462476,122.7807
Chico,United States,39.7284944,-121.8374777
Sankanan,Philippines,8.3141383,124.8551784
Irará,Brazil,-12.034087,-38.7577605
Kahuripan,Indonesia,-7.3497666,108.2288552
Obeliai,Lithuania,55.96667,25.15
Maofan,China,31.829323,119.977286
Várzea,Portugal,42.0445765,-8.4388534
Torino,Italy,45.0651725,7.6385118
Minanga Norte,Philippines,17.75,121.7333298
Hengqu,China,22.099737,113.497052
Shucheng Chengguanzhen,China,31.466526,116.952766
Soldato-Aleksandrovskoye,Russia,44.263401,43.7629729
Nusajaya,Indonesia,-6.2003572,106.6166048
Santa Maria do Souto,Portugal,41.5146956,-8.2971003
Kalino,Russia,58.251749,57.612388
Cinagrog Girang,Indonesia,-6.9547303,107.3787448
Cuito,Angola,-15.1632458,19.1612478
Erdaojiang,China,41.774053,126.042534
Bangkok,Thailand,13.8135951,100.4227992
Markaz-e Woluswalī-ye Āchīn,Afghanistan,34.12583,70.70778
Zhangcun,China,43.817071,125.323544
San Marcos,El Salvador,13.6609515,-89.1729807
Wangcheng,China,28.353912,112.833836
Wairiang,Indonesia,1.1322476,104.0115689
Färgelanda,Sweden,58.567559,11.994926
Zvole,Czech Republic,49.8398148,16.9143454
Koilás,Greece,37.4132997,23.125332
Saynshand,Mongolia,44.8990915,110.1065717
Socorro,Colombia,6.4360112,-73.28833
Mangero,Philippines,13.3666668,122.6500015
Köln,Germany,50.9210958,6.8968829
Santo Domingo,Dominican Republic,18.467605,-69.911527
Mafraq,Jordan,32.341673,36.2020028
Liujiachang,China,33.2934023,119.282264
Quintães,Portugal,40.9690916,-8.474627
Osekovo,Croatia,45.517207,16.6038706
Espinho,Portugal,40.0856412,-8.2896115
Porto Alto,Portugal,38.919391,-8.8779873
Qarchī Gak,Afghanistan,37.0259658,66.7784206
Bhimbar,Pakistan,32.9753084,74.0739763
Kapsabet,Kenya,0.202957,35.0978385
Zverevo,Russia,48.0158297,40.0785154
Sibay,Russia,52.7189291,58.677007
Cimrutu,Indonesia,-7.6275173,108.8016788
Plagiári,Greece,40.4749958,22.9587865
Cinco Saltos,Argentina,-38.8248331,-68.0677378
Piaocao,China,32.820169,107.497055
Kavalerovo,Russia,44.2551686,135.0572606
Jinping,China,23.365556,116.70345
Sendai-shi,Japan,38.2513578,140.8817471
Qorovulbozor Shahri,Uzbekistan,39.50308,64.81142
Fengxi,China,30.917795,121.474042
Costa Nova do Prado,Portugal,40.617471,-8.753421
Labé,Guinea,11.3232042,-12.2891314
Sonina,Poland,50.057265,22.275776
Zhenjiang,China,32.187849,119.425836
Halong,Indonesia,-2.2527615,115.7101789
Lianokládhion,Greece,38.9175948,22.3032419
Jamundí,Colombia,3.1377116,-76.5929658
Vänersborg,Sweden,57.9675068,12.577321
Pursat,Cambodia,12.4651824,103.8911999
Karangsari,Indonesia,-6.427987,110.9561
Maredakalada,Indonesia,-9.5994215,119.3221307
Clervaux,Luxembourg,50.0549693,6.0239884
Mendī,Ethiopia,9.7970175,35.0993687
Baş Göynük,Azerbaijan,41.3360854,47.1318069
Diaofeng,China,26.694208,115.939083
Villa Serrano,Bolivia,-19.123139,-64.3223726
Pomerode,Brazil,-26.7376205,-49.1743626
Mambi,Indonesia,-3.0412633,119.1158017
Sokolniki,Poland,51.3098574,18.3275179
Hobart,Australia,-42.8821377,147.3271949
Sosnowiec,Poland,50.58999,20.057961
Wangunsari,Indonesia,-6.8432007,107.612654
Nieying,China,39.128502,113.139828
Xiadian,China,35.621965,118.725698
Quinta de Valadares,Portugal,38.6052584,-9.1570572
Santo Aleixo,Portugal,38.9200512,-7.4195818
Khalopyenichy,Belarus,54.5156,28.9587
Yanliang,China,34.662234,109.226101
Rogongon,Philippines,8.2435239,124.3401302
Maulawin,Philippines,14.2813218,121.4106742
Lavradio,Portugal,38.6627574,-9.0573022
Cruces de Anorí,Colombia,7.18334,-75.06668
Páchni,Greece,41.3053973,24.8927934
Bardiyā,Nepal,28.3102323,81.4278984
Marapat,Indonesia,-7.4580728,109.21829
Shenji,China,30.853265,112.375491
Itatinga,Brazil,-23.1067087,-48.6123867
Cruz das Almas,Brazil,-12.6735557,-39.1016848
Sinilian First,Philippines,15.69327,120.45936
Graksop,South Africa,-24.6258027,30.7565467
Bucu Kidul,Indonesia,-6.5397069,110.8463512
Vendas de Galizes,Portugal,40.3159517,-7.9013121
Huangbao,China,35.872664,120.04619
Dokri,Pakistan,27.3675011,68.1006359
Buffalo,United States,42.88,-78.83
Pedregal,Panama,9.0968746,-79.4422593
Obo,China,41.7941883,123.3695459
Amirdzhan,Azerbaijan,40.42639,49.98361
Lushikeng,China,26.648393,110.153093
Magnitogorsk,Russia,53.3621047,58.9682091
Orléans,France,47.3591366,2.8002946
Manglid,Indonesia,-6.7816552,105.6969788
Kalinkavichy,Belarus,52.1253899,29.3297633
Macha,China,26.753593,110.138232
Sumenep,Indonesia,-6.9253999,113.9060624
Morawica,Poland,50.0751139,19.7530653
Surenavan,Armenia,39.7992062,44.7723968
Ujsoły,Poland,49.4663065,19.1517652
Mekarsari,Indonesia,-8.3765619,115.1918802
Maungatapere,New Zealand,-35.7549893,174.2077912
Islamey,Russia,43.6865336,43.5192652
Taramana,Indonesia,-8.170292,124.854068
Karlstad,Sweden,59.454973,13.7250925
Nigríta,Greece,40.9084768,23.5004731
Huazhai,China,38.624235,100.36759
Nanam,North Korea,41.7268086,129.6850661
Liběšice,Czech Republic,50.3448824,15.3606459
Baitu,China,34.675197,103.498609
Chixi,China,30.169665,121.266579
Pajoreja,Indonesia,-8.8449,121.1956
Iwade,Japan,37.2484774,138.4445735
Vancouver,United States,45.63,-122.52
Lisičani,Macedonia,41.4633308,21.0495247
Nieszawa,Poland,52.8388233,18.8801942
Krynychky,Ukraine,48.3694747,34.4573326
Dublin,Ireland,53.3347733,-6.2427004
Alta Gracia,Argentina,-34.6104702,-58.5278307
Tongguan,China,34.544296,110.246349
Weetombo,Indonesia,-9.566,119.1284
Sīdī Sālim,Egypt,31.2724505,30.7807444
Longnawang,Indonesia,1.8480062,114.8923533
Petrikov,Ukraine,49.5290136,25.5783873
Xijiang,China,22.8387258,112.3810562
Iiyama,Japan,36.8517527,138.3628039
Arcena Pequena,Portugal,39.2167,-9.2167
Manalongon,Philippines,9.2214675,122.8845373
Xiaogang,China,31.070643,113.943274
Louveira,Brazil,-23.0931156,-46.9513691
Tseel,Mongolia,45.5502218,95.8545767
Jiangchang,China,21.861787,111.955059
Aripuanã,Brazil,-10.1750977,-59.4478932
Palencia,Spain,42.0096857,-4.5288016
Kotabaru,Indonesia,-3.0029841,115.9467997
Dzhalka,Russia,43.3211671,45.9920397
Viga,Philippines,13.869601,124.3090475
Hamamatsu,Japan,34.7326539,137.7446478
Lyskovo,Russia,56.0161995,45.0457463
Bagumbayan,Philippines,14.5919106,121.0228804
Timbuktu,Mali,16.7665887,-3.0025615
Kaliterus,Indonesia,-7.6044275,109.5766953
Vagney,France,48.0080981,6.7166698
Seka,Thailand,13.7768017,100.5593109
Batuna Satu,Indonesia,1.657944,125.090922
Arendal,Norway,58.4603072,8.7649767
Karlovy Vary,Czech Republic,50.2318521,12.8719616
Selmes,Portugal,38.1454503,-7.7618365
Zibreira,Portugal,39.4825368,-8.609605
Azovo,Russia,54.7047674,73.0410443
Gisiliba,Indonesia,-8.83126,121.05243
San Francisco,Philippines,8.508983,125.969667
Houston,United States,29.9108312,-95.6563119
Santo Amaro,Brazil,-12.5465375,-38.7110678
Vylkove,Ukraine,45.4002994,29.5961736
Cihaur,Indonesia,-7.1221059,106.5701927
Dyurtyuli,Russia,55.4787765,54.8619269
Pechora,Russia,65.1383492,57.1903905
Palangue,Philippines,14.265684,120.82759
Songjiang,China,31.032243,121.227747
Daxin,China,22.829287,107.200654
Mbuji-Mayi,Democratic Republic of the Congo,-6.1306709,23.5966577
Adiwerna,Indonesia,-6.9391309,109.1259181
Zhangfeng,China,24.191374,97.801697
Nangalimang,Indonesia,-8.6436471,122.2001457
Lendan,Indonesia,-8.5734677,116.3653421
Riyom,Nigeria,9.5842063,8.713707
Fangshan,China,39.749144,116.143267
Samphanthawong,Thailand,13.7398825,100.5085202
Uinskoye,Russia,56.8813564,56.570105
Onega,Russia,63.917408,38.1141079
Madimba,Tanzania,-10.4,40.333333
Hà Đông,Vietnam,20.955835,105.7563658
Tolbazy,Russia,54.0114023,55.8925281
Sendangwaru,Indonesia,-6.7084401,111.5736596
Itabira,Brazil,-19.6238346,-43.2182878
Maţāy,Egypt,28.4233602,30.734995
Gafargaon,Bangladesh,24.4571847,90.5486962
Umbuldamar,Indonesia,-8.1854774,112.3531494
Pomahuaca,Peru,-5.9345929,-79.222328
Kiel,Germany,54.3418823,10.1150681
Laventure,Mauritius,-20.1494006,57.6864138
Sarukhan,Armenia,40.2938995,45.1360148
Wonotirto,Indonesia,-8.2538887,112.166867
Yeniugou,China,38.456354,99.542709
Jiekou,China,23.544678,113.591349
Cumming,United States,35.1307639,-118.5882119
Sakchu-ŭp,North Korea,40.38944,125.04667
Tomari,Russia,47.7520885,142.0615212
Kaa-Khem,Russia,51.6891738,94.5646653
Buenavista,Colombia,5.4600818,-73.98004
Mulanay,Philippines,13.5066291,122.4867454
Balekersukamaju,Indonesia,-6.3825,105.8361
Jebba,Nigeria,9.1192516,4.8261424
Shigutang,China,24.348178,113.151358
Anzhero-Sudzhensk,Russia,55.9870823,86.1430172
Nawal,Nepal,27.6498409,83.8897057
Sigayevo,Russia,56.42,53.767778
Ruda Śląska,Poland,50.2650642,18.9033756
Gniezno,Poland,52.5299344,17.6034134
La Garde,France,48.0482483,-1.6329288
Ruo,Micronesia,8.6102728,152.2399398
Provins,France,48.5625988,3.3093771
São Carlos,Brazil,-22.0157824,-47.8847321
Negeriagung,Indonesia,-4.5549848,104.6354631
Ebetsu,Japan,43.0641899,141.4864943
Guarabira,Brazil,-6.8739016,-35.4562795
Yaita,Japan,36.8079089,139.9200321
Fushan,China,23.021478,113.121435
Armentières,France,47.5619629,-0.9147447
Zaytā Jammā‘īn,Palestinian Territory,32.13698,35.18595
Saint Cloud,United States,45.62,-94.25
Parnamirim,Brazil,-8.1347511,-39.734338
San Jacinto,Colombia,9.834832,-75.120521
Knin,Croatia,44.0407757,16.1964988
Zdenci,Croatia,45.5825837,17.9517519
Kimovsk,Russia,53.9910079,38.5367317
Checacupe,Peru,-14.0260541,-71.4544256
Gaojialing,China,29.164409,116.78956
Dhali,Cyprus,35.0612128,33.4047109
Ji Paraná,Brazil,-10.8810514,-61.9704582
Alexandria,United States,38.8,-77.05
Cambebba,Brazil,-23.1427013,-44.1663455
Cevicos,Dominican Republic,18.4927064,-69.9621383
Tacheng,China,46.748522,82.978928
Krzanowice,Poland,50.0281297,18.1278226
Cocobeach,Gabon,0.9931336,9.5770844
Niort,France,46.3194856,-0.4546217
Alès,France,44.0570174,4.0057868
Basud,Philippines,14.048167,122.955697
Yashiro,Japan,35.5267333,135.8074728
Carot,Philippines,16.289185,119.90559
Toba Tek Singh,Pakistan,30.9658281,72.5694175
Bokaa,Botswana,-24.42787,26.023656
Jitan,China,43.87437,126.582834
Uchiza,Peru,-8.4592507,-76.4619911
San Diego,Mexico,19.2000657,-98.8016731
Bolesławiec,Poland,51.1981241,18.191303
Casilda,Argentina,-32.9285798,-60.6923382
Otradnoye,Russia,55.86328,37.621698
Bezenchuk,Russia,52.9779583,49.4270742
Fengshuling,China,30.235005,116.475481
Safotu,Samoa,-13.4528458,-172.4041647
Miramar,Argentina,-34.3714108,-58.875663
Yermish’,Russia,54.76778,42.27111
Sidomakmur,Indonesia,-2.6360357,120.5480578
Beisijia,China,26.0824759,119.2969454
Altıağac,Azerbaijan,40.8762849,49.0273549
Sintansin,South Korea,36.45361,127.43111
Grabów nad Prosną,Poland,51.5076941,18.1208003
Kaišiadorys,Lithuania,54.8593462,24.4549495
Gabi,Philippines,10.2600338,123.958258
Yanbei,China,24.111841,112.910406
Bistrica ob Sotli,Slovenia,46.0565579,15.6625947
Muli,China,27.928835,101.280205
Sarandë,Albania,39.8592119,20.0271001
Dobrá,Czech Republic,49.6738269,18.413937
Roshal’,Russia,55.6583701,39.8653499
Alvega,Portugal,39.4680636,-8.0455725
Realeza,Brazil,-25.6801783,-53.5419225
Boavista,Portugal,41.1667893,-8.6815733
Portela,Portugal,40.2553096,-8.5929199
Krapina,Croatia,46.160492,15.8724103
General Lavalle,Argentina,-34.5595896,-58.6022596
Uspenskoye,Russia,44.7656213,41.3625021
Vërtop,Albania,40.62889,20.05389
Aemura,Indonesia,-6.227136,106.7963623
Mafa,Nigeria,11.924,13.5986529
Bafilo,Togo,9.3568025,1.248195
Mtsamdou,Comoros,-11.6104897,43.3891826
Budziszewice,Poland,51.667293,19.93565
Nikolinci,Serbia,45.030617,21.0613022
Nemby,Paraguay,-25.3961603,-57.536292
Yanino Vtoroye,Russia,59.9355,30.61534
Kebonan,Indonesia,-7.355927,110.6422198
Toutuo,China,30.848103,116.360871
Gaphatshwe,Botswana,-24.5969718,25.9124229
Qinlan,China,32.601214,119.17604
Thung Yang Daeng,Thailand,6.6172697,101.4284143
Črenšovci,Slovenia,46.5720029,16.2877346
Ya‘bad,Palestinian Territory,32.446834,35.167274
Maticmatic,Philippines,15.9824991,120.4094965
Kilju,North Korea,40.9612198,129.3209986
Ögöömör,Mongolia,47.5,96.2
Dungkek Laok,Indonesia,-6.976504,114.1112351
Simimbaan,Philippines,17.1179264,121.583097
Lolak,Indonesia,0.881124,124.014
Singojuruh,Indonesia,-8.3200799,114.2509376
Kos,Greece,36.8915064,27.2877228
San Jacinto,Peru,-9.148289,-78.2809879
Zbrosławice,Poland,50.4072694,18.7082571
Quichuay,Peru,-11.8887963,-75.2865498
Doom,Indonesia,-6.922586,107.6060501
Gryfów Śląski,Poland,51.0350353,15.4122128
Zemun,Serbia,44.8532094,20.3555646
Yanzhao,China,35.553144,116.783833
Pamoyanan,Indonesia,-6.6409658,106.8030892
Rozhnyativ,Ukraine,48.9361342,24.1594075
Semiring,Indonesia,-7.6359993,114.0160937
Pohbango,Indonesia,-6.6425,111.0625
Divo,Ivory Coast,5.8415399,-5.3625516
Hongqi,China,35.30385,113.875245
New-Richmond,Canada,48.16059,-65.85823
Hecheng,China,27.578926,110.040315
Shah Alam,Malaysia,3.0100681,101.5326734
Simo,Finland,65.6661479,25.0673009
Volodarsk,Russia,56.2533676,43.1585921
Dera Bugti,Pakistan,28.7382793,69.1963258
As Suqaylibīyah,Syria,35.36674,36.39359
Ibaraki,Japan,33.9242163,135.1445719
San Pedro,Philippines,14.3679657,121.0504535
Jatirejo,Indonesia,-7.617735,112.4172256
Tunjë,Albania,40.8358295,20.1089899
Cañuelas,Argentina,-34.5875578,-58.6433296
Tibati,Cameroon,6.470326,12.6187506
Shashūbay,Kazakhstan,46.8122174,75.0287331
Khal’ch,Belarus,52.5643,31.1364
Sundbyberg,Sweden,59.3586958,17.9687559
Ijūin,Japan,31.6374692,130.4019412
Ucluelet,Canada,48.94153,-125.54635
Pandakan,Philippines,14.593975,121.0038631
Vorzel’,Ukraine,50.5439471,30.1488137
Duanjia,China,33.570769,117.015187
Buenlag,Philippines,15.9793744,120.1912435
Hongshan,China,22.517585,113.39277
Psevdás,Cyprus,34.9588458,33.466379
Simpang,Indonesia,-1.259553,104.100502
Saint-Lambert-de-Lauzon,Canada,46.58624,-71.20892
Velká nad Veličkou,Czech Republic,48.8825673,17.5206059
Lấp Vò,Vietnam,10.3578054,105.6308159
Hepu,China,21.660935,109.207335
Marseille,France,43.7441795,2.511999
Cigintung,Indonesia,-6.9620686,108.4854717
Sabana Iglesia,Dominican Republic,19.3673204,-70.7578553
Polešovice,Czech Republic,49.0338988,17.3406456
Fankeng,China,27.300683,119.727073
Trới,Vietnam,21.0256819,106.9983133
Herby,Poland,50.7451358,18.9026582
Lebane,Serbia,42.9203458,21.7421911
Xiaoshi,China,41.305838,124.120286
Cihaur,Indonesia,-7.1221059,106.5701927
Monasterevin,Ireland,53.1387595,-7.0625888
Sadahayu,Indonesia,-7.2080402,108.7185184
Ágios Týchon,Cyprus,34.7188616,33.129529
Tadjoura,Djibouti,11.7913106,42.8796227
Shuanglu,China,30.574474,103.923651
Wisła,Poland,49.6308644,18.8985165
Licupis,Peru,-6.4240524,-79.242648
Iwanai,Japan,42.9786866,141.8352113
Mpongwe,Zambia,-13.5119941,28.1561533
Lecong,China,22.958471,113.089242
Oudtshoorn,South Africa,-33.4907417,22.5304693
Bezenchuk,Russia,52.9779583,49.4270742
Magsaysay,Philippines,14.6031411,121.0959448
Kostryzhivka,Ukraine,48.655181,25.7096503
Fuhai,China,47.111918,87.486703
Kalávryta,Greece,38.033281,22.1103462
Jinxiu,China,24.130374,110.189462
Pinhão,Brazil,-10.5792295,-37.745028
Yashikera,Nigeria,9.7663613,3.3955927
Colinas,Brazil,-29.3827582,-51.8628399
Xilai,China,32.116246,120.436781
Qinjiang,China,27.775323,108.796556
Smederevo,Serbia,44.6658941,20.9335169
Ryczów,Poland,49.9805725,19.5512903
Kapasan,Indonesia,-7.2425008,112.7524553
Olyka,Ukraine,50.7113724,25.8291867
Surubim,Brazil,-7.8478439,-35.7570657
Yuewan,China,24.4752847,101.3431058
Santa Ana,El Salvador,13.9778279,-89.5639119
Pancas,Brazil,-19.2234241,-40.8538285
Rodniki,Russia,55.1052515,82.9514853
Ipauçu,Brazil,-23.0552782,-49.623678
Guintubhan,Philippines,10.2060924,122.9611892
Zevenaar,Netherlands,51.9321156,6.0581861
Gangkou,China,22.585397,113.38492
Angoulême,France,45.638468,0.129895
Hwado,South Korea,37.6523921,127.3083224
Haczów,Poland,49.689425,21.9126813
Heping,China,24.44218,114.938684
Thị Trấn Yên Phú,Vietnam,22.7615314,105.348246
Fulong,China,52.4615066,13.4346565
Paujiles,Honduras,15.6019543,-87.6112325
Taroudant,Morocco,30.4727126,-8.8748765
Kulotino,Russia,58.4536208,33.3707377
Guanta,Venezuela,10.2343685,-64.591805
Mora,Sweden,60.7865441,14.1928243
Riangwale,Indonesia,-8.3841,123.2415
Bouaké,Ivory Coast,7.690466,-5.0390536
Lodoyo,Indonesia,-8.178717,112.2264794
Guoxiang,China,23.1416933,113.2491804
Mikulovice,Czech Republic,50.2895924,17.3087111
Ebene,Mauritius,-20.2418916,57.4895998
Tanjung Pandan,Indonesia,-2.7416678,107.6529988
Weiting,China,31.347049,120.695047
Calizo,Philippines,11.5556884,122.3800058
Gambarjati,Indonesia,3.5005598,98.8942082
Xinhui,China,22.4583,113.034187
Khagrachhari,Bangladesh,22.9155908,91.8580145
Buga,Mongolia,48.9479951,90.0133872
Santa Cruz do Capibaribe,Brazil,-7.9484331,-36.2064182
Xilin,China,24.489685,105.093908
Emiliano Zapata,Mexico,18.8478608,-99.1843676
Staré Město,Czech Republic,50.1617318,16.9473457
Hilotongan,Philippines,11.144989,123.6441498
Chengxi,China,36.628305,101.765843
Qiganjidie,China,46.86436,87.71608
Wuxiang,China,36.837625,112.864561
Mahajanga,Madagascar,-15.6921494,46.3336857
Kanḏay,Afghanistan,34.933333,70.95
Tsuruoka,Japan,35.4693091,134.7938651
Tonosí,Panama,7.3889508,-80.4215246
Saint John,Malta,35.90556,14.47611
Desa Borogojol,Indonesia,-7.034968,108.1725154
Qalandiyā,Palestinian Territory,31.861597,35.207914
Al Ma‘allā’,Yemen,12.78987,45.00244
Trondheim,Norway,63.4400274,10.4024274
Filiátes,Greece,39.6003316,20.3077691
Tuqiao,China,39.871981,116.686439
Waterloo,Canada,43.4714875,-80.5494007
Cungkal,Indonesia,-7.9839081,112.6213938
Moss,Norway,59.4634763,10.694967
Makurdi,Nigeria,7.7321516,8.539144
Milín,Czech Republic,49.6933676,14.0095887
Tingloy,Philippines,13.6690327,120.8546864
Polowat,Micronesia,7.357338,149.200361
Bielice,Poland,53.2001742,14.7571949
Beo,Indonesia,4.2292379,126.798485
Jacksonville,United States,30.3152434,-81.6856808
Aleksandrów,Poland,51.2568887,19.9864728
Baranoa,Colombia,10.796589,-74.915036
Genova,Italy,44.4421587,8.7866738
Herrera,Argentina,-34.6558079,-58.3734773
Lisia Góra,Poland,50.0994713,21.0432139
Shahrisabz Shahri,Uzbekistan,41.3047616,69.2817267
Aguitu,China,42.615891,114.744988
Malilipot,Philippines,13.29664,123.756628
Jinotega,Nicaragua,13.0883907,-85.9993997
Moinhos,Portugal,41.5277358,-8.5840028
Tambov,Russia,52.7060809,41.3951119
Lebak,Indonesia,-6.5643956,106.2522143
Göteborg,Sweden,57.7051896,11.9006932
Vojnić,Croatia,45.3250638,15.6962323
Balice,Poland,50.0898965,19.7935705
Rambatan,Indonesia,-3.129696,104.204716
Bantilan,Indonesia,-0.8922447,119.8504075
Timbrangan,Indonesia,-6.8595223,111.4886997
Lanos,Indonesia,-8.2824,120.4087
Luxi,China,27.630806,114.029827
Zašová,Czech Republic,49.4817883,18.0449791
Paico,Peru,-13.7134562,-76.1841701
Oklahoma City,United States,35.4209352,-97.6656625
Az Zabadānī,Syria,33.7257889,36.104236
Nanzhao Chengguanzhen,China,33.505152,112.423014
Dioknisi,Georgia,41.631154,42.3915567
Strasbourg,France,48.5347071,7.6370168
Berëzovka,Russia,58.3492338,45.5173688
Pittsburgh,United States,40.44,-79.9599999
Ínfias,Portugal,41.3980906,-8.3089526
Sandakan,Malaysia,5.83864,118.116958
Konče,Macedonia,41.49511,22.38359
Nago,Japan,35.5205328,135.7708561
Qaxa,China,46.688163,83.406926
Belleville,Canada,44.165829,-77.3956004
Sbo’o,Indonesia,-6.8723784,107.5815795
Tanay,Philippines,14.5727654,121.0257322
Wuxia,China,35.529096,112.849999
Sanyang,China,41.805699,123.431472
Trinity Ville,Jamaica,17.9618459,-76.5228101
At Taḩālif,Yemen,15.93786,48.7864
Changbai,China,41.420018,128.200789
Made,Indonesia,-7.280135,112.6347636
Melíssia,Greece,38.0572295,23.8336016
Zhyrovichy,Belarus,53.0131368,25.3425332
Ulety,Russia,51.3591174,112.484985
Uyuni,Bolivia,-20.1337772,-67.4891345
Senj,Croatia,44.9893604,14.9036052
Luksuhin,Philippines,13.8195176,121.1729455
Hongyuan,China,32.790891,102.544405
Ganja,Azerbaijan,40.6878581,46.3723313
Ferreiros,Portugal,41.6188726,-8.3575438
Fukuroi,Japan,34.7465855,137.9224387
Salon-de-Provence,France,43.5958543,5.1190026
Zolotkovo,Russia,55.5305674,41.1014277
Daba,China,32.165,108.8822222
Zürich,Switzerland,47.3774041,8.5113801
Yerazgavors,Armenia,40.7031503,43.7750216
Malvinas Argentinas,Argentina,-34.4753246,-58.586937
